epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.434,1.17316,3.43623,1.69636,0.52703,0.62109,0.45523,0.42211,0.50947,3.21189,1.12659,7.145e-05,7.145e-05,7.145e-05
2,185.269,0.69155,4.10693,1.27859,0.54733,0.42963,0.4885,0.42569,0.7319,4.06353,1.29671,0.000154078,0.000154078,0.000154078
3,246.844,0.7758,1.64519,1.33453,0.76739,0.50932,0.66144,0.50992,0.72764,3.02857,1.31863,0.00023331,0.00023331,0.00023331
4,298.95,0.7955,2.21187,1.44153,0.57927,0.74856,0.49837,0.38582,0.81147,4.36926,1.39227,0.000309147,0.000309147,0.000309147
5,349.545,1.00341,1.73242,1.50025,0.60094,0.33333,0.30284,0.18958,1.06676,3.04827,1.73348,0.000381589,0.000381589,0.000381589
6,398.779,0.78193,1.25312,1.35777,0.39367,0.53333,0.46323,0.28439,1.13402,4.55815,1.76417,0.000450635,0.000450635,0.000450635
7,448.918,1.04472,1.65983,1.78864,0.63392,0.46245,0.50522,0.42055,1.02934,2.22152,1.71342,0.000516286,0.000516286,0.000516286
8,496.564,0.6404,1.19007,1.19167,0.68508,0.52037,0.64877,0.5095,1.11298,1.95592,1.81298,0.000578542,0.000578542,0.000578542
9,544.566,1.02859,1.35399,1.47932,0.4943,0.6274,0.59086,0.387,1.16059,1.92929,1.97449,0.000637403,0.000637403,0.000637403
10,589.656,0.777,1.05277,1.33942,0.63231,0.57582,0.54328,0.37458,1.28816,2.32222,1.91615,0.000692868,0.000692868,0.000692868
11,635.889,0.72726,1.37255,1.29154,0.59275,0.6358,0.58875,0.43344,1.2362,2.05922,1.85678,0.000744938,0.000744938,0.000744938
12,682.362,0.75188,1.03753,1.25871,0.80151,0.41481,0.48009,0.32673,1.29066,3.44719,1.81526,0.000793612,0.000793612,0.000793612
13,750.703,0.82393,1.26812,1.29908,0.5416,0.55541,0.57693,0.38883,1.43911,2.29084,2.0882,0.000838892,0.000838892,0.000838892
14,834.639,0.70278,1.18931,1.21894,0.6072,0.62963,0.60002,0.30909,1.97277,2.0626,2.57263,0.000880776,0.000880776,0.000880776
15,929.01,0.83586,0.97416,1.31458,0.6072,0.62963,0.60002,0.30909,1.97277,2.0626,2.57263,0.000919264,0.000919264,0.000919264
16,1010.77,0.89378,1.12591,1.51637,0.32041,0.57663,0.46229,0.25308,1.79162,2.7703,2.40137,0.000954358,0.000954358,0.000954358
17,1072.24,0.84016,1.17146,1.40583,0.40886,0.69879,0.51805,0.32072,1.48188,2.59515,2.2674,0.000976293,0.000976293,0.000976293
18,1147.17,0.72366,0.90371,1.27559,0.4248,0.78457,0.48154,0.31643,1.42799,2.61963,2.25875,0.000947999,0.000947999,0.000947999
19,1239.21,0.72669,0.89745,1.22932,0.4248,0.78457,0.48154,0.31643,1.42799,2.61963,2.25875,0.000919704,0.000919704,0.000919704
20,1299.13,0.67809,0.9991,1.22502,0.67943,0.68705,0.69387,0.49661,1.24041,1.98456,1.92812,0.00089141,0.00089141,0.00089141
21,1383.51,0.88204,1.34862,1.34223,0.70046,0.61658,0.64074,0.43578,1.40703,2.15189,2.00972,0.000863116,0.000863116,0.000863116
22,1466.94,0.67553,0.8653,1.17885,0.62241,0.64444,0.65757,0.47702,1.27309,1.80114,1.89322,0.000834822,0.000834822,0.000834822
23,1547.87,0.87489,0.93618,1.45883,0.62241,0.64444,0.65757,0.47702,1.27309,1.80114,1.89322,0.000806528,0.000806528,0.000806528
24,1592.43,0.6943,0.98642,1.17484,0.7349,0.71111,0.74134,0.57718,1.00762,1.54364,1.63434,0.000778233,0.000778233,0.000778233
25,1635.43,0.76898,0.96622,1.30719,0.81241,0.52593,0.63516,0.48966,1.01745,1.7268,1.87428,0.000749939,0.000749939,0.000749939
26,1678.11,0.7838,0.92584,1.30589,0.47225,0.7037,0.60572,0.50626,0.99109,1.91006,1.76032,0.000721645,0.000721645,0.000721645
27,1719.7,0.73591,0.97129,1.20293,0.47225,0.7037,0.60572,0.50626,0.99109,1.91006,1.76032,0.000693351,0.000693351,0.000693351
28,1760.71,0.64804,0.85801,1.17516,0.80121,0.36312,0.50892,0.40944,1.08276,1.9828,1.84346,0.000665057,0.000665057,0.000665057
29,1801.09,0.73519,0.78654,1.28359,0.67907,0.67789,0.65736,0.48587,1.00965,1.72203,1.6512,0.000636762,0.000636762,0.000636762
30,1841.65,0.68803,0.85765,1.21989,0.72524,0.7376,0.70264,0.49662,1.01949,1.52738,1.60505,0.000608468,0.000608468,0.000608468
31,1882.04,0.61949,0.8221,1.18539,0.72524,0.7376,0.70264,0.49662,1.01949,1.52738,1.60505,0.000580174,0.000580174,0.000580174
32,1925.87,0.68075,0.71877,1.23623,0.84744,0.65031,0.76183,0.51267,1.10546,1.6228,1.59398,0.00055188,0.00055188,0.00055188
33,1976.51,0.62687,0.70476,1.19815,0.4699,0.66667,0.65541,0.48744,1.11599,1.63744,1.61588,0.000523586,0.000523586,0.000523586
34,2026.27,0.88748,0.97198,1.47354,0.80698,0.45926,0.66454,0.50972,1.09933,1.6031,1.68731,0.000495291,0.000495291,0.000495291
35,2083.08,0.62164,0.74787,1.09045,0.80698,0.45926,0.66454,0.50972,1.09933,1.6031,1.68731,0.000466997,0.000466997,0.000466997
36,2126.66,0.68424,0.76947,1.21337,0.82654,0.45926,0.63832,0.51751,1.12959,1.59503,1.84186,0.000438703,0.000438703,0.000438703
37,2203.97,0.77482,1.10168,1.33017,0.74591,0.55188,0.66136,0.54004,1.02339,1.35093,1.73112,0.000410409,0.000410409,0.000410409
38,2288.75,0.76558,0.95246,1.39535,0.87517,0.56296,0.72522,0.59876,0.96511,1.21654,1.5898,0.000382115,0.000382115,0.000382115
39,2348.07,0.67082,0.83744,1.24907,0.87517,0.56296,0.72522,0.59876,0.96511,1.21654,1.5898,0.00035382,0.00035382,0.00035382
40,2400.84,0.59607,0.76971,1.1491,0.96459,0.67619,0.78889,0.67314,0.90229,1.3243,1.41557,0.000325526,0.000325526,0.000325526
41,2501.24,0.57479,1.05143,1.28288,0.69329,0.74074,0.73552,0.65318,0.8295,1.26625,1.39779,0.000297232,0.000297232,0.000297232
42,2591.27,0.59758,0.716,1.19992,0.73813,0.70715,0.78123,0.70273,0.76776,1.24697,1.38371,0.000268938,0.000268938,0.000268938
